individual_ano,group,species,year,obs_hours,sex,groupsize,partners_groomed,partners_pool,groupyear,sexspec,sexspec_indicator
i137,Ekalakala,bonobo,2019,5.64635416666667,F,11,6,10,Ekalakala__2019,fem_bo,1
i086,Ekalakala,bonobo,2019,4.71913194444444,M,11,6,10,Ekalakala__2019,mal_bo,3
i001,Ekalakala,bonobo,2019,5.20341435185185,F,11,10,10,Ekalakala__2019,fem_bo,1
i127,Ekalakala,bonobo,2019,5.67821759259259,M,11,9,10,Ekalakala__2019,mal_bo,3
i014,Ekalakala,bonobo,2019,6.4065162037037,F,11,9,10,Ekalakala__2019,fem_bo,1
i117,Ekalakala,bonobo,2019,5.73240740740741,M,11,7,10,Ekalakala__2019,mal_bo,3
i073,Ekalakala,bonobo,2019,7.42627314814815,F,11,10,10,Ekalakala__2019,fem_bo,1
i025,Ekalakala,bonobo,2019,7.501875,F,11,9,10,Ekalakala__2019,fem_bo,1
i116,Ekalakala,bonobo,2019,4.61900462962963,F,11,9,10,Ekalakala__2019,fem_bo,1
i094,Ekalakala,bonobo,2019,3.12578703703704,F,11,7,10,Ekalakala__2019,fem_bo,1
i019,Kokoalongo,bonobo,2019,4.93914351851852,F,20,6,19,Kokoalongo__2019,fem_bo,1
i107,Kokoalongo,bonobo,2019,5.9121875,F,20,3,19,Kokoalongo__2019,fem_bo,1
i035,Kokoalongo,bonobo,2019,5.0690162037037,F,20,2,19,Kokoalongo__2019,fem_bo,1
i076,Kokoalongo,bonobo,2019,2.32851851851852,M,20,1,19,Kokoalongo__2019,mal_bo,3
i070,Kokoalongo,bonobo,2019,5.12876157407407,M,20,3,19,Kokoalongo__2019,mal_bo,3
i032,Kokoalongo,bonobo,2019,4.58655092592593,M,20,7,19,Kokoalongo__2019,mal_bo,3
i021,Kokoalongo,bonobo,2019,2.82189814814815,M,19,1,18,Kokoalongo__2019,mal_bo,3
i020,Kokoalongo,bonobo,2019,4.33084490740741,F,20,6,19,Kokoalongo__2019,fem_bo,1
i043,Kokoalongo,bonobo,2019,5.7243287037037,F,20,11,19,Kokoalongo__2019,fem_bo,1
i108,Kokoalongo,bonobo,2019,0.950266203703704,F,19,4,18,Kokoalongo__2019,fem_bo,1
