"individual1","individual2","dyadID","food","foraging_group_membership","foraging_help","friendship","sex1","sex2","partners","kin"
"SB134","SB139","SB134_SB139",4,0,0,2,"f","f",0,0
"SB144","SB139","SB139_SB144",2,0,0,0,"f","f",0,0
"SB125","SB139","SB125_SB139",4,2,2,2,"f","f",0,0.25
"SB147","SB139","SB139_SB147",4,0,2,2,"f","f",0,0
"SB138","SB139","SB138_SB139",0,2,1,0,"m","f",1,0
"SB177","SB139","SB139_SB177",2,4,1,4,"f","f",0,0.0625
"SB119","SB139","SB119_SB139",0,0,0,2,"f","f",0,0.125
"SB140","SB139","SB139_SB140",3,0,0,0,"f","f",0,0.5
"SB89","SB139","SB139_SB89",0,0,0,0,"f","f",0,0.0625
"SB101","SB139","SB101_SB139",0,0,0,0,"f","f",0,0.25
"SB103","SB139","SB103_SB139",0,0,0,0,"f","f",0,0.125
"SB107","SB139","SB107_SB139",0,0,0,0,"f","f",0,0.125
"SB83","SB139","SB139_SB83",0,0,0,0,"f","f",0,0.125
"SB93","SB139","SB139_SB93",1,0,0,0,"f","f",0,0.125
"SB120","SB139","SB120_SB139",0,0,0,0,"m","f",0,0.0625
"SB84","SB139","SB139_SB84",0,0,0,0,"m","f",0,0.0625
"SB117","SB139","SB117_SB139",0,0,0,0,"m","f",0,0.0625
"SB148","SB139","SB139_SB148",0,0,0,0,"m","f",0,0
"SB62","SB139","SB139_SB62",1,0,0,0,"f","f",0,0
"SB152","SB139","SB139_SB152",0,0,0,0,"m","f",0,0
"SB143","SB139","SB139_SB143",0,0,0,0,"m","f",0,0.5
"SB150","SB139","SB139_SB150",0,0,0,0,"f","f",0,0
"SB151","SB139","SB139_SB151",0,0,0,0,"f","f",0,0
"SB158","SB139","SB139_SB158",0,0,0,0,"f","f",0,0
"SB153","SB139","SB139_SB153",0,0,0,0,"f","f",0,0
"SB155","SB139","SB139_SB155",0,0,0,0,"f","f",0,0
"SB163","SB139","SB139_SB163",0,0,0,0,"f","f",0,0
"SB169","SB139","SB139_SB169",0,0,0,0,"f","f",0,0
"SB149","SB139","SB139_SB149",0,0,0,0,"m","f",0,0
"SB157","SB139","SB139_SB157",0,0,0,0,"m","f",0,0
"SB162","SB139","SB139_SB162",0,0,0,0,"m","f",0,0
"SB27","SB139","SB139_SB27",0,0,0,0,"f","f",0,0
"SB2","SB139","SB139_SB2",0,0,0,0,"f","f",0,0
"SB20","SB139","SB139_SB20",0,0,0,0,"f","f",0,0
"SB6","SB139","SB139_SB6",0,0,0,0,"m","f",0,0
"SB47","SB139","SB139_SB47",1,0,0,0,"f","f",0,0
"SB19","SB139","SB139_SB19",0,0,0,0,"m","f",0,0
"SB46","SB139","SB139_SB46",0,0,0,0,"m","f",0,0
"SB61","SB139","SB139_SB61",0,0,0,0,"m","f",0,0
"SB34","SB139","SB139_SB34",0,0,0,0,"f","f",0,0
"SB39","SB139","SB139_SB39",0,0,0,0,"f","f",0,0
"SB7","SB139","SB139_SB7",0,0,0,0,"f","f",0,0
"SB58","SB139","SB139_SB58",0,0,0,0,"f","f",0,0
"SB37","SB139","SB139_SB37",0,0,0,0,"f","f",0,0
"SB53","SB139","SB139_SB53",0,0,0,0,"f","f",0,0
"SB11","SB139","SB11_SB139",0,0,0,0,"f","f",0,0
"SB57","SB139","SB139_SB57",0,0,0,0,"m","f",0,0
"SB146","SB139","SB139_SB146",0,0,0,0,"m","f",0,0
"SB66","SB139","SB139_SB66",0,0,0,0,"m","f",0,0
"SB133","SB139","SB133_SB139",1,0,0,0,"m","f",0,0.0625
"SB52","SB139","SB139_SB52",0,0,0,0,"m","f",0,0
"SB17","SB139","SB139_SB17",0,0,0,0,"f","f",0,0
"SB118","SB139","SB118_SB139",0,0,0,0,"f","f",0,0
"SB114","SB139","SB114_SB139",0,0,0,0,"f","f",0,0
"SB176","SB139","SB139_SB176",0,0,0,0,"m","f",0,0
"SB179","SB139","SB139_SB179",0,0,0,0,"f","f",0,0
"SB178","SB139","SB139_SB178",0,0,0,0,"m","f",0,0.03125
"SB67","SB139","SB139_SB67",0,0,0,0,"f","f",0,0
"SB154","SB139","SB139_SB154",0,0,0,0,"m","f",0,0.03125
"SB68","SB139","SB139_SB68",0,0,0,0,"m","f",0,0
"SB75","SB139","SB139_SB75",0,0,0,0,"f","f",0,0
"SB65","SB139","SB139_SB65",0,0,0,0,"f","f",0,0
"SB74","SB139","SB139_SB74",0,0,0,0,"m","f",0,0
"SB82","SB139","SB139_SB82",0,0,0,0,"m","f",0,0
"SB18","SB139","SB139_SB18",0,0,0,0,"m","f",0,0
"SB124","SB139","SB124_SB139",0,0,0,0,"m","f",0,0
"SB26","SB139","SB139_SB26",0,0,0,0,"m","f",0,0
"SB33","SB139","SB139_SB33",0,0,0,0,"m","f",0,0
"SB1","SB139","SB1_SB139",0,0,0,0,"m","f",0,0
"SB38","SB139","SB139_SB38",0,0,0,0,"m","f",0,0
"SB10","SB139","SB10_SB139",0,0,0,0,"m","f",0,0
"SB102","SB139","SB102_SB139",0,0,0,0,"m","f",0,0.125
"SB106","SB139","SB106_SB139",0,0,0,0,"m","f",0,0
"SB116","SB139","SB116_SB139",0,0,0,0,"m","f",0,0
"SB88","SB139","SB139_SB88",0,0,0,0,"m","f",0,0
"SB80","SB139","SB139_SB80",0,0,0,0,"f","f",0,0
"SB79","SB139","SB139_SB79",0,0,0,0,"m","f",0,0
"SB144","SB134","SB134_SB144",2,2,1,2,"f","f",0,0
"SB125","SB134","SB125_SB134",4,3,2,4,"f","f",0,0
"SB147","SB134","SB134_SB147",4,2,3,3,"f","f",0,0
"SB138","SB134","SB134_SB138",1,0,0,0,"m","f",0,0
"SB177","SB134","SB134_SB177",2,0,0,2,"f","f",0,0
"SB119","SB134","SB119_SB134",1,0,0,0,"f","f",0,0
"SB140","SB134","SB134_SB140",1,0,0,0,"f","f",0,0
"SB89","SB134","SB134_SB89",0,0,0,0,"f","f",0,0
"SB101","SB134","SB101_SB134",0,0,0,0,"f","f",0,0
"SB103","SB134","SB103_SB134",0,0,0,0,"f","f",0,0
"SB107","SB134","SB107_SB134",0,0,0,0,"f","f",0,0
"SB83","SB134","SB134_SB83",0,0,0,0,"f","f",0,0
"SB93","SB134","SB134_SB93",0,0,0,0,"f","f",0,0
"SB120","SB134","SB120_SB134",0,0,0,0,"m","f",0,0
"SB84","SB134","SB134_SB84",0,0,0,0,"m","f",0,0
