ind1_ano,ind2_ano,species,group_num,group,year,groupyear,kin,obs_hours,grooming,aggression,association2,association.total,coalition,sharing,sex1,sex2,population,demo1,demo2
i138,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,273.948333333333,0,6,1127,2577,1,5,F,F,2,FALSE,FALSE
i099,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,251.695,241,0,653,2102,0,0,M,F,2,FALSE,TRUE
i034,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,263.317777777778,992,15,1130,2658,1,0,F,F,2,FALSE,TRUE
i007,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,274.713055555556,6807,5,1138,2648,2,2,M,F,2,FALSE,TRUE
i016,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,292.192222222222,7278,1,1074,2302,0,0,F,F,2,FALSE,FALSE
i122,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,276.013611111111,0,1,1010,2496,1,4,M,F,2,FALSE,FALSE
i074,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,316.666388888889,5513,1,1251,2702,0,1,F,F,2,FALSE,TRUE
i109,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,318.480833333333,1553,0,957,2633,1,3,F,F,2,FALSE,TRUE
i118,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,249.291944444444,701,3,712,2099,0,6,F,F,2,FALSE,FALSE
i031,i105,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,213.454722222222,300,7,611,2112,0,3,F,F,2,FALSE,TRUE
i099,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,248.771666666667,0,2,735,2472,0,0,M,F,2,TRUE,FALSE
i034,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,260.394444444444,8120,9,1507,2733,1,11,F,F,2,TRUE,FALSE
i007,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,271.789722222222,5753,0,1502,2736,1,1,M,F,2,TRUE,FALSE
i016,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,289.268888888889,1030,6,1208,2620,1,0,F,F,2,FALSE,FALSE
i122,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,273.090277777778,0,6,1362,2596,1,1,M,F,2,TRUE,FALSE
i074,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,313.743055555556,29216,3,1595,2810,3,2,F,F,2,FALSE,FALSE
i109,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,315.5575,7978,1,1257,2785,2,3,F,F,2,TRUE,FALSE
i118,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,246.368611111111,0,2,854,2409,0,3,F,F,2,FALSE,FALSE
i031,i138,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,210.531388888889,993,5,725,2450,0,12,F,F,2,FALSE,FALSE
i034,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,238.141111111111,2999,3,759,2532,0,1,F,M,2,TRUE,TRUE
i007,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,249.536388888889,7796,82,677,2612,1,0,M,M,2,TRUE,TRUE
i016,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,267.015555555556,6726,4,658,2221,0,0,F,M,2,FALSE,FALSE
i122,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,250.836944444444,0,15,606,2403,0,0,M,M,2,TRUE,FALSE
i074,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,291.489722222222,4303,4,808,2648,0,0,F,M,2,FALSE,TRUE
i109,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,293.304166666667,0,0,659,2434,0,0,F,M,2,TRUE,TRUE
i118,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,224.115277777778,221,0,466,1848,0,1,F,M,2,FALSE,FALSE
i031,i099,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,188.278055555556,0,0,425,1801,0,0,F,M,2,FALSE,TRUE
i007,i034,bonobo,3,Ekalakala,2019,Ekalakala__2019,0,261.159166666667,2466,3,1526,2796,0,4,M,F,2,TRUE,TRUE
